"","AlphaCode"
"1","totalbirds"
"2","saltysparrow"
"3","ALFL"
"4","AMCR"
"5","AMDU"
"6","AMGO"
"7","AMOY"
"8","AMRO"
"9","BANS"
"10","BAOR"
"11","BARS"
"12","BBGU"
"13","BBPL"
"14","BCCH"
"15","BLJA"
"16","BOBO"
"17","CAGO"
"18","CARW"
"19","CEDW"
"20","CHSP"
"21","CLRA"
"22","COGR"
"23","COTE"
"24","COYE"
"25","CSWA"
"26","DCCO"
"27","DUNL"
"28","EAKI"
"29","EAPH"
"30","EATO"
"31","EUST"
"32","GBHE"
"33","GCFL"
"34","GLIB"
"35","GRCA"
"36","GREG"
"37","GRHE"
"38","GRYE"
"39","HERG"
"40","HOFI"
"41","HOSP"
"42","KILL"
"43","LESA"
"44","LETE"
"45","LEYE"
"46","MALL"
"47","MODO"
"48","MUSW"
"49","NESP"
"50","NOCA"
"51","NOMO"
"52","NRWS"
"53","OSPR"
"54","PUMA"
"55","RECR"
"56","RUBL"
"57","RWBL"
"58","SALS"
"59","SBDO"
"60","SEOW"
"61","SEPL"
"62","SESA"
"63","SESP"
"64","SNEG"
"65","SOSP"
"66","SPSA"
"67","STSP"
"68","TRES"
"69","UNK_SP"
"70","WEVI"
"71","WIFL"
"72","WILL"
"73","WOTH"
"74","WRSA"
"75","YEWA"
