"","Aerial Insectivore","Carnivorous Hawkers and Plungers","Dabblers and Grubbers","Marsh Foragers and Gleaners","Mudflat Probers and Gleaners","Piscivore Plungers and Divers","Scavengers, Food Pirates, and Generalists","Upland Edge Canopy Forager","Upland Edge Gleaners and Foragers","Wading Ambushers"
"1","Alder Flycatcher",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,"American Crow",NA
"3",NA,NA,"American Black Duck",NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,"American Goldfinch",NA
"5",NA,NA,NA,NA,"American Oystercatcher",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,"American Robin",NA
"7","Bank Swallow",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,"Baltimore Oriole",NA
"9","Barn Swallow",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,"Black-backed Gull",NA,NA,NA
"11",NA,NA,NA,NA,"Black-bellied Plover",NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,"Black-capped Chickadee",NA
"13",NA,NA,NA,NA,NA,NA,NA,"Blue Jay",NA,NA
"14",NA,NA,NA,"Bobolink",NA,NA,NA,NA,NA,NA
"15",NA,NA,"Canada Goose",NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,"Carolina Wren",NA
"17","Cedar Waxwing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,"Chipping Sparrow",NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,"Clapper Rail",NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,"Common Grackle",NA
"21",NA,NA,NA,NA,NA,"Common Tern",NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,"Common Yellowthroat",NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,"Chestnut-sided Warbler",NA
"24",NA,NA,NA,NA,NA,"Double-crested Cormorant",NA,NA,NA,NA
"25",NA,NA,NA,NA,"Dunlin",NA,NA,NA,NA,NA
"26","Eastern Kingbird",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Eastern Phoebe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Towhee",NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,"European Starling",NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Great Blue Heron"
"31","Great Crested Flycatcher",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,"Glossy Ibis",NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,"Gray Catbird",NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Great Egret"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Heron"
"36",NA,NA,NA,NA,"Greater Yellowlegs",NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,"Herring Gull",NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,"Hermit Thrush",NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,"House Finch",NA
"40",NA,NA,NA,"House Sparrow",NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,"Killdeer",NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,"Least Sandpiper",NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,"Least Tern",NA,NA,NA,NA
"44",NA,NA,NA,NA,"Lesser Yellowlegs",NA,NA,NA,NA,NA
"45",NA,NA,"Mallard",NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,"Mourning Dove",NA,NA,NA,NA,NA,NA
"47",NA,NA,"Mute Swan",NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,"Nelson's Sparrow",NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,"Northern Cardinal",NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,"Northern Mockingbird",NA
"51","Northern Rough-winged Swallow",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,"Osprey",NA,NA,NA,NA
"53","Purple Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,"Red Crossbill",NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,"Rusty Blackbird",NA
"56",NA,NA,NA,"Red-winged Blackbird",NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,"Saltmarsh Sparrow",NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,"Short-billed Dowitcher",NA,NA,NA,NA,NA
"59",NA,"Short-eared Owl",NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,"Semipalmated Plover",NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,"Semipalmated Sandpiper",NA,NA,NA,NA,NA
"62",NA,NA,NA,"Seaside Sparrow",NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Snowy Egret"
"64",NA,NA,NA,"Song Sparrow",NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,"Spotted Sandpiper",NA,NA,NA,NA,NA
"66",NA,NA,NA,"Sharp-tailed Sparrow",NA,NA,NA,NA,NA,NA
"67","Tree Swallow",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,"Unknown Sparrow",NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,"White-eyed Vireo",NA
"70","Willow Flycatcher",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,"Willet",NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,"Wood Thrush",NA
"73",NA,NA,NA,NA,"White-rumped Sandpiper",NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,"Yellow Warbler",NA
